STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,Latitude,Longitude
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-08,,,0.0,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-09,,,0.08,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-10,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-20,,,0.73,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-21,,,0.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-24,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-01-25,,,0.67,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-01,,,1.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-02,,,0.05,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-03,,,0.24,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-04,,,0.07,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-17,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-18,,,0.09,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-24,,,0.15,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-25,,,0.09,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-02-27,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-01,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-02,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-03,,,0.0,0.0,,,29.28236,-94.804984
