"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG"
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-08",,,"0.00",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-09",,,"0.08",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-10",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-20",,,"0.73",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-21",,,"0.11",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-24",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-01-25",,,"0.67",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-01",,,"1.11",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-02",,,"0.05",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-03",,,"0.24",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-04",,,"0.07",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-17",,,"0.03",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-18",,,"0.09",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-24",,,"0.15",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-25",,,"0.09",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-02-27",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-01",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-02",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-03",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-04",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-05",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-06",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-07",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-08",,,"0.03",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-09",,,"0.11",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-10",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-11",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-12",,,"0.03",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-13",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-14",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-15",,,"0.67",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-16",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-17",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-18",,,"0.09",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-19",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-20",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-21",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-22",,,"0.15",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-23",,,"0.45",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-24",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-25",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-26",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-27",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-28",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-29",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-30",,,"0.00","0.0",,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-03-31",,,"0.39",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-04-03",,,"0.03",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-04-05",,,"0.06",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-04-13",,,"0.04",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-04-14",,,"0.03",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-04-26",,,"2.34",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-05-06",,,"1.00",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-05-22",,,"1.52",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-05-23",,,"0.25",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-05-25",,,"0.84",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-06-01",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-06-03",,,"0.45",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-06-27",,,"0.17",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-06-29",,,"0.28",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-06-30",,,"0.16",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-01",,,"1.43",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-02",,,"0.98",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-03",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-11",,,"0.98",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-14",,,"1.06",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-15",,,"0.28",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-16",,,"0.22",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-07-24",,,"0.01",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-02",,,"0.05",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-06",,,"0.35",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-07",,,"0.43",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-10",,,"0.00",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-11",,,"0.75",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-12",,,"0.05",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-13",,,"0.28",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-14",,,"0.57",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-15",,,"0.11",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-19",,,"2.35",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-20",,,"0.45",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-21",,,"0.03",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-23",,,"0.94",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-24",,,"0.35",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-25",,,"0.73",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-26",,,"0.16",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-27",,,"0.02",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-28",,,"0.93",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-29",,,"0.20",,,
"US1TXGV0018","GALVESTON 6.4 NE, TX US","2022-08-30",,,"0.38",,,
