DATE,TAVG,PRCP,ResultValue(Def.)
1/31/22,57.225806,0.077273,10.923077
2/28/22,55.607143,0.080084,6.071429
3/31/22,64.967742,0.069214,38.555556
4/30/22,74.7,0.115179,10.333333
5/31/22,82.774194,0.14783,14.090909
6/30/22,87.066667,0.094189,21.088235
7/31/22,88.129032,0.253667,22.28125
8/31/22,86.806452,0.321393,48.414634
9/30/22,83,0.174568,11.387097
10/31/22,73.645161,0.066136,8.64
11/30/22,63.965517,0.456417,46.2
12/31/22,60.096774,0.204271,14.8125
1/31/23,61.612903,0.134425,
2/28/23,61.285714,0.049612,
3/31/23,68.451613,0.076917,
4/30/23,71.3,0.237636,
5/31/23,77.774194,0.219294,
6/30/23,83.2,0.061358,
7/31/23,86.064516,0.138462,
8/31/23,87.677419,0.007237,
9/30/23,85.266667,0.215,
10/31/23,83.4,0.37,
