State Code,Year,Beach ID(Def.),Beach Name(Def.),StationID(Def.),Station Name (Def.),CountyName(Def.),Identifier(Def.),StartDate(Def.),StartTime(Def.),ZoneCode(Def.),ActivityTypeCode(Def.),CharacteristicName(Def.),Result ValueText(Def.),ResultValue(Def.),ResultMeasureUnit,Result Comment(Def.),ActivityDepthValue(Def.),ActivityDepthUnitCode(Def.),ResultAnalyticalMethodIdentifier Context(Def.),ResultAnalyticalMethodIdentifier(Def.),ResultAnalyticalMethodName(Def.),Sample CollectionMethod Identifier(Def.),Sample Collection Method Name(Def.),Field Gear(Def.),Latitude,Longitude
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221220_97522,20-Dec-22,9:06:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221206_97355,6-Dec-22,8:54:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221125_97221,25-Nov-22,8:43:00 AM,CDT,Sample-Routine,Enterococcus,,41,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221122_97203,22-Nov-22,9:36:00 AM,CDT,Sample-Routine,Enterococcus,,246,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221108_97002,8-Nov-22,8:56:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221025_96803,25-Oct-22,8:56:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221011_96667,11-Oct-22,8:55:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221004_96475,4-Oct-22,8:55:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220927_96272,27-Sep-22,9:57:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220920_96131,20-Sep-22,8:55:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
